"State","Facility Name","Facility ID","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"MA","Pittsfield Generating",50002,"2025-03-17",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-18",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-19",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",5,,,,,,
