datasourceId,sourceId,sourceType,StartOfPeriod,endOfPeriod,locationLatitude,locationLongitude,no2Conc1HourMean.qcAssessment,no2Conc1HourMean.status,no2Conc1HourMean.value,pm10ConcMass1HourMean.qcAssessment,pm10ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.qcAssessment,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;12,2024;04;01;13,42.42171656,-73.20349336,valid,calibrated-ready,21.5,valid,12.95,valid,calibrated-ready,4.09
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;12,2024;04;01;13,42.45301464,-73.26174029,valid,calibrated-ready,22.4,valid,16.64,valid,calibrated-ready,4.35
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;12,2024;04;01;13,42.45658,-73.2441,valid,calibrated-ready,23.39,valid,19.12,valid,calibrated-ready,4.61
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;12,2024;04;01;13,42.44963,-73.25216,valid,calibrated-ready,30.18,valid,14.22,valid,calibrated-ready,4.43
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;13,2024;04;01;14,42.45179,-73.25484,valid,calibrated-ready,23.26,valid,11.8,valid,calibrated-ready,5
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;13,2024;04;01;14,42.46803,-73.20072,valid,calibrated-ready,18.62,valid,13.07,valid,calibrated-ready,4.47
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;13,2024;04;01;14,42.42506,-73.22515,valid,calibrated-ready,18.87,valid,18.03,valid,calibrated-ready,4.5
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;13,2024;04;01;14,42.42689,-73.28892,valid,calibrated-ready,25.1,valid,17.9,valid,calibrated-ready,4.05
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;13,2024;04;01;14,42.45855,-73.22086,valid,calibrated-ready,20.92,valid,13.41,valid,calibrated-ready,4.42
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;13,2024;04;01;14,42.42171656,-73.20349336,valid,calibrated-ready,23.79,valid,16.99,valid,calibrated-ready,5
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;13,2024;04;01;14,42.45301464,-73.26174029,valid,calibrated-ready,20.71,valid,13.42,valid,calibrated-ready,4.48
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;13,2024;04;01;14,42.45658,-73.2441,valid,calibrated-ready,20.27,valid,15.29,valid,calibrated-ready,4.33
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;13,2024;04;01;14,42.44963,-73.25216,valid,calibrated-ready,28.83,valid,13.78,valid,calibrated-ready,4.49
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;14,2024;04;01;15,42.45179,-73.25484,valid,calibrated-ready,23.49,valid,14.9,valid,calibrated-ready,5.82
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;14,2024;04;01;15,42.46803,-73.20072,valid,calibrated-ready,17.99,valid,13.31,valid,calibrated-ready,4.63
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;14,2024;04;01;15,42.42506,-73.22515,valid,calibrated-ready,15.45,valid,11.5,valid,calibrated-ready,3.92
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;14,2024;04;01;15,42.42689,-73.28892,valid,calibrated-ready,28.22,valid,18.97,valid,calibrated-ready,4.5
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;14,2024;04;01;15,42.45855,-73.22086,valid,calibrated-ready,15.59,valid,11,valid,calibrated-ready,4.34
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;14,2024;04;01;15,42.42171656,-73.20349336,valid,calibrated-ready,21.12,valid,11.06,valid,calibrated-ready,4.37
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;14,2024;04;01;15,42.45301464,-73.26174029,valid,calibrated-ready,19.17,valid,14.37,valid,calibrated-ready,5.04
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;14,2024;04;01;15,42.45658,-73.2441,valid,calibrated-ready,21.29,valid,21.12,valid,calibrated-ready,5.02
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;14,2024;04;01;15,42.44963,-73.25216,valid,calibrated-ready,28.03,valid,18.17,valid,calibrated-ready,5.25
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;15,2024;04;01;16,42.45179,-73.25484,valid,calibrated-ready,19.47,valid,11.79,valid,calibrated-ready,5.33
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;15,2024;04;01;16,42.46803,-73.20072,valid,calibrated-ready,13.68,valid,7.73,valid,calibrated-ready,3.83
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;15,2024;04;01;16,42.42506,-73.22515,valid,calibrated-ready,12.8,valid,9.11,valid,calibrated-ready,3.77
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;15,2024;04;01;16,42.42689,-73.28892,valid,calibrated-ready,24.27,valid,18.97,valid,calibrated-ready,4.61
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;15,2024;04;01;16,42.45855,-73.22086,valid,calibrated-ready,7.02,valid,7.78,valid,calibrated-ready,3.89
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;15,2024;04;01;16,42.42171656,-73.20349336,valid,calibrated-ready,20.3,valid,6.95,valid,calibrated-ready,4.03
